ticker,start_date,end_date,code
AAPL,2023-01-03,2023-02-27,3
AAPL,2023-01-04,2023-02-28,3
AAPL,2023-01-05,2023-03-01,3
AAPL,2023-01-06,2023-03-02,3
AAPL,2023-01-09,2023-03-03,6
AAPL,2023-01-10,2023-03-06,6
AAPL,2023-01-11,2023-03-07,6
AAPL,2023-01-12,2023-03-08,3
AAPL,2023-01-13,2023-03-09,3
AAPL,2023-01-16,2023-03-10,3
AAPL,2023-01-17,2023-03-13,3
AAPL,2023-01-18,2023-03-14,3
AAPL,2023-01-19,2023-03-15,3
AAPL,2023-01-20,2023-03-16,2
AAPL,2023-01-23,2023-03-17,2
AAPL,2023-01-24,2023-03-20,2
AAPL,2023-01-25,2023-03-21,2
AAPL,2023-01-26,2023-03-22,2
AAPL,2023-01-27,2023-03-23,2
AAPL,2023-01-30,2023-03-24,2
AAPL,2023-01-31,2023-03-27,2
AAPL,2023-02-01,2023-03-28,2
AAPL,2023-02-02,2023-03-29,2
AAPL,2023-02-03,2023-03-30,2
AAPL,2023-02-06,2023-03-31,2
AAPL,2023-02-07,2023-04-03,2
AAPL,2023-02-08,2023-04-04,2
AAPL,2023-02-09,2023-04-05,2
AAPL,2023-02-10,2023-04-06,2
AAPL,2023-02-13,2023-04-07,4
AAPL,2023-02-14,2023-04-10,4
AAPL,2023-02-15,2023-04-11,4
AAPL,2023-02-16,2023-04-12,4
AAPL,2023-02-17,2023-04-13,4
AAPL,2023-02-20,2023-04-14,6
AAPL,2023-02-21,2023-04-17,6
AAPL,2023-02-22,2023-04-18,6
AAPL,2023-02-23,2023-04-19,3
AAPL,2023-02-24,2023-04-20,3
AAPL,2023-02-27,2023-04-21,3
AAPL,2023-02-28,2023-04-24,3
AAPL,2023-03-01,2023-04-25,3
AAPL,2023-03-02,2023-04-26,3
AAPL,2023-03-03,2023-04-27,3
AAPL,2023-03-06,2023-04-28,2
AAPL,2023-03-07,2023-05-01,2
AAPL,2023-03-08,2023-05-02,2
AAPL,2023-03-09,2023-05-03,2
AAPL,2023-03-10,2023-05-04,2
AAPL,2023-03-13,2023-05-05,2
AAPL,2023-03-14,2023-05-08,2
AAPL,2023-03-15,2023-05-09,2
AAPL,2023-03-16,2023-05-10,2
AAPL,2023-03-17,2023-05-11,2
AAPL,2023-03-20,2023-05-12,2
AAPL,2023-03-21,2023-05-15,4
AAPL,2023-03-22,2023-05-16,4
AAPL,2023-03-23,2023-05-17,4
AAPL,2023-03-24,2023-05-18,4
AAPL,2023-03-27,2023-05-19,4
AAPL,2023-03-28,2023-05-22,4
AAPL,2023-03-29,2023-05-23,4
AAPL,2023-03-30,2023-05-24,4
AAPL,2023-03-31,2023-05-25,4
AAPL,2023-04-03,2023-05-26,0
AAPL,2023-04-04,2023-05-29,0
AAPL,2023-04-05,2023-05-30,0
AAPL,2023-04-06,2023-05-31,0
AAPL,2023-04-07,2023-06-01,0
AAPL,2023-04-10,2023-06-02,0
AAPL,2023-04-11,2023-06-05,0
AAPL,2023-04-12,2023-06-06,0
AAPL,2023-04-13,2023-06-07,0
AAPL,2023-04-14,2023-06-08,0
AAPL,2023-04-17,2023-06-09,7
AAPL,2023-04-18,2023-06-12,7
AAPL,2023-04-19,2023-06-13,7
AAPL,2023-04-20,2023-06-14,7
AAPL,2023-04-21,2023-06-15,7
AAPL,2023-04-24,2023-06-16,7
AAPL,2023-04-25,2023-06-19,1
AAPL,2023-04-26,2023-06-20,1
AAPL,2023-04-27,2023-06-21,6
AAPL,2023-04-28,2023-06-22,1
AAPL,2023-05-01,2023-06-23,6
AAPL,2023-05-02,2023-06-26,5
AAPL,2023-05-03,2023-06-27,5
AAPL,2023-05-04,2023-06-28,5
AAPL,2023-05-05,2023-06-29,5
AAPL,2023-05-08,2023-06-30,5
AAPL,2023-05-09,2023-07-03,5
AAPL,2023-05-10,2023-07-04,5
AAPL,2023-05-11,2023-07-05,2
AAPL,2023-05-12,2023-07-06,2
AAPL,2023-05-15,2023-07-07,2
AAPL,2023-05-16,2023-07-10,2
AAPL,2023-05-17,2023-07-11,2
AAPL,2023-05-18,2023-07-12,2
AAPL,2023-05-19,2023-07-13,2
AAPL,2023-05-22,2023-07-14,2
AAPL,2023-05-23,2023-07-17,2
AAPL,2023-05-24,2023-07-18,4
AAPL,2023-05-25,2023-07-19,2
AAPL,2023-05-26,2023-07-20,2
AAPL,2023-05-29,2023-07-21,4
AAPL,2023-05-30,2023-07-24,4
AAPL,2023-05-31,2023-07-25,4
AAPL,2023-06-01,2023-07-26,4
AAPL,2023-06-02,2023-07-27,6
AAPL,2023-06-05,2023-07-28,6
AAPL,2023-06-06,2023-07-31,6
AAPL,2023-06-07,2023-08-01,6
AAPL,2023-06-08,2023-08-02,6
AAPL,2023-06-09,2023-08-03,6
AAPL,2023-06-12,2023-08-04,3
AAPL,2023-06-13,2023-08-07,3
AAPL,2023-06-14,2023-08-08,3
AAPL,2023-06-15,2023-08-09,3
AAPL,2023-06-16,2023-08-10,3
AAPL,2023-06-19,2023-08-11,3
AAPL,2023-06-20,2023-08-14,2
AAPL,2023-06-21,2023-08-15,2
AAPL,2023-06-22,2023-08-16,2
AAPL,2023-06-23,2023-08-17,2
AAPL,2023-06-26,2023-08-18,2
AAPL,2023-06-27,2023-08-21,2
AAPL,2023-06-28,2023-08-22,2
AAPL,2023-06-29,2023-08-23,2
AAPL,2023-06-30,2023-08-24,2
AAPL,2023-07-03,2023-08-25,2
AAPL,2023-07-04,2023-08-28,2
AAPL,2023-07-05,2023-08-29,2
AAPL,2023-07-06,2023-08-30,4
AAPL,2023-07-07,2023-08-31,4
AAPL,2023-07-10,2023-09-01,4
AAPL,2023-07-11,2023-09-04,4
AAPL,2023-07-12,2023-09-05,4
AAPL,2023-07-13,2023-09-06,4
AAPL,2023-07-14,2023-09-07,4
AAPL,2023-07-17,2023-09-08,4
AAPL,2023-07-18,2023-09-11,0
AAPL,2023-07-19,2023-09-12,0
AAPL,2023-07-20,2023-09-13,0
AAPL,2023-07-21,2023-09-14,0
AAPL,2023-07-24,2023-09-15,0
AAPL,2023-07-25,2023-09-18,0
AAPL,2023-07-26,2023-09-19,0
AAPL,2023-07-27,2023-09-20,0
AAPL,2023-07-28,2023-09-21,0
AAPL,2023-07-31,2023-09-22,0
AAPL,2023-08-01,2023-09-25,7
AAPL,2023-08-02,2023-09-26,7
AAPL,2023-08-03,2023-09-27,7
AAPL,2023-08-04,2023-09-28,7
AAPL,2023-08-07,2023-09-29,7
AAPL,2023-08-08,2023-10-02,7
AAPL,2023-08-09,2023-10-03,7
AAPL,2023-08-10,2023-10-04,1
AAPL,2023-08-11,2023-10-05,1
AAPL,2023-08-14,2023-10-06,5
AAPL,2023-08-15,2023-10-09,5
AAPL,2023-08-16,2023-10-10,5
AAPL,2023-08-17,2023-10-11,5
AAPL,2023-08-18,2023-10-12,5
AAPL,2023-08-21,2023-10-13,5
AAPL,2023-08-22,2023-10-16,5
AAPL,2023-08-23,2023-10-17,5
AAPL,2023-08-24,2023-10-18,5
AAPL,2023-08-25,2023-10-19,5
AAPL,2023-08-28,2023-10-20,5
AAPL,2023-08-29,2023-10-23,5
AAPL,2023-08-30,2023-10-24,2
AAPL,2023-08-31,2023-10-25,2
AAPL,2023-09-01,2023-10-26,4
AAPL,2023-09-04,2023-10-27,4
AAPL,2023-09-05,2023-10-30,4
AAPL,2023-09-06,2023-10-31,4
AAPL,2023-09-07,2023-11-01,4
AAPL,2023-09-08,2023-11-02,4
AAPL,2023-09-11,2023-11-03,4
AAPL,2023-09-12,2023-11-06,4
AAPL,2023-09-13,2023-11-07,4
AAPL,2023-09-14,2023-11-08,6
AAPL,2023-09-15,2023-11-09,6
AAPL,2023-09-18,2023-11-10,6
AAPL,2023-09-19,2023-11-13,6
AAPL,2023-09-20,2023-11-14,6
AAPL,2023-09-21,2023-11-15,6
AAPL,2023-09-22,2023-11-16,6
AAPL,2023-09-25,2023-11-17,6
AAPL,2023-09-26,2023-11-20,3
AAPL,2023-09-27,2023-11-21,3
AAPL,2023-09-28,2023-11-22,3
AAPL,2023-09-29,2023-11-23,3
AAPL,2023-10-02,2023-11-24,3
AAPL,2023-10-03,2023-11-27,3
AAPL,2023-10-04,2023-11-28,2
AAPL,2023-10-05,2023-11-29,2
AAPL,2023-10-06,2023-11-30,2
AAPL,2023-10-09,2023-12-01,2
AAPL,2023-10-10,2023-12-04,2
AAPL,2023-10-11,2023-12-05,2
AAPL,2023-10-12,2023-12-06,2
AAPL,2023-10-13,2023-12-07,2
AAPL,2023-10-16,2023-12-08,2
AAPL,2023-10-17,2023-12-11,2
AAPL,2023-10-18,2023-12-12,2
AAPL,2023-10-19,2023-12-13,2
AAPL,2023-10-20,2023-12-14,2
AAPL,2023-10-23,2023-12-15,4
AAPL,2023-10-24,2023-12-18,4
AAPL,2023-10-25,2023-12-19,4
AAPL,2023-10-26,2023-12-20,4
AAPL,2023-10-27,2023-12-21,4
AAPL,2023-10-30,2023-12-22,4
AAPL,2023-10-31,2023-12-25,4
AAPL,2023-11-01,2023-12-26,4
AAPL,2023-11-02,2023-12-27,4
AAPL,2023-11-03,2023-12-28,4
AAPL,2023-11-06,2023-12-29,5
AMD,2023-01-03,2023-02-27,7
AMD,2023-01-04,2023-02-28,6
AMD,2023-01-05,2023-03-01,6
AMD,2023-01-06,2023-03-02,6
AMD,2023-01-09,2023-03-03,1
AMD,2023-01-10,2023-03-06,3
AMD,2023-01-11,2023-03-07,3
AMD,2023-01-12,2023-03-08,3
AMD,2023-01-13,2023-03-09,5
AMD,2023-01-16,2023-03-10,5
AMD,2023-01-17,2023-03-13,5
AMD,2023-01-18,2023-03-14,5
AMD,2023-01-19,2023-03-15,2
AMD,2023-01-20,2023-03-16,2
AMD,2023-01-23,2023-03-17,2
AMD,2023-01-24,2023-03-20,2
AMD,2023-01-25,2023-03-21,2
AMD,2023-01-26,2023-03-22,2
AMD,2023-01-27,2023-03-23,2
AMD,2023-01-30,2023-03-24,2
AMD,2023-01-31,2023-03-27,2
AMD,2023-02-01,2023-03-28,2
AMD,2023-02-02,2023-03-29,2
AMD,2023-02-03,2023-03-30,2
AMD,2023-02-06,2023-03-31,4
AMD,2023-02-07,2023-04-03,4
AMD,2023-02-08,2023-04-04,4
AMD,2023-02-09,2023-04-05,4
AMD,2023-02-10,2023-04-06,4
AMD,2023-02-13,2023-04-07,4
AMD,2023-02-14,2023-04-10,4
AMD,2023-02-15,2023-04-11,4
AMD,2023-02-16,2023-04-12,6
AMD,2023-02-17,2023-04-13,6
AMD,2023-02-20,2023-04-14,6
AMD,2023-02-21,2023-04-17,6
AMD,2023-02-22,2023-04-18,6
AMD,2023-02-23,2023-04-19,3
AMD,2023-02-24,2023-04-20,3
AMD,2023-02-27,2023-04-21,3
AMD,2023-02-28,2023-04-24,3
AMD,2023-03-01,2023-04-25,3
AMD,2023-03-02,2023-04-26,3
AMD,2023-03-03,2023-04-27,2
AMD,2023-03-06,2023-04-28,2
AMD,2023-03-07,2023-05-01,2
AMD,2023-03-08,2023-05-02,2
AMD,2023-03-09,2023-05-03,2
AMD,2023-03-10,2023-05-04,2
AMD,2023-03-13,2023-05-05,2
AMD,2023-03-14,2023-05-08,2
AMD,2023-03-15,2023-05-09,2
AMD,2023-03-16,2023-05-10,2
AMD,2023-03-17,2023-05-11,4
AMD,2023-03-20,2023-05-12,4
AMD,2023-03-21,2023-05-15,4
AMD,2023-03-22,2023-05-16,4
AMD,2023-03-23,2023-05-17,4
AMD,2023-03-24,2023-05-18,4
AMD,2023-03-27,2023-05-19,4
AMD,2023-03-28,2023-05-22,4
AMD,2023-03-29,2023-05-23,0
AMD,2023-03-30,2023-05-24,0
AMD,2023-03-31,2023-05-25,0
AMD,2023-04-03,2023-05-26,0
AMD,2023-04-04,2023-05-29,0
AMD,2023-04-05,2023-05-30,0
AMD,2023-04-06,2023-05-31,0
AMD,2023-04-07,2023-06-01,0
AMD,2023-04-10,2023-06-02,0
AMD,2023-04-11,2023-06-05,7
AMD,2023-04-12,2023-06-06,7
AMD,2023-04-13,2023-06-07,7
AMD,2023-04-14,2023-06-08,7
AMD,2023-04-17,2023-06-09,7
AMD,2023-04-18,2023-06-12,7
AMD,2023-04-19,2023-06-13,7
AMD,2023-04-20,2023-06-14,1
AMD,2023-04-21,2023-06-15,1
AMD,2023-04-24,2023-06-16,1
AMD,2023-04-25,2023-06-19,1
AMD,2023-04-26,2023-06-20,1
AMD,2023-04-27,2023-06-21,1
AMD,2023-04-28,2023-06-22,5
AMD,2023-05-01,2023-06-23,5
AMD,2023-05-02,2023-06-26,5
AMD,2023-05-03,2023-06-27,5
AMD,2023-05-04,2023-06-28,5
AMD,2023-05-05,2023-06-29,5
AMD,2023-05-08,2023-06-30,5
AMD,2023-05-09,2023-07-03,2
AMD,2023-05-10,2023-07-04,2
AMD,2023-05-11,2023-07-05,2
AMD,2023-05-12,2023-07-06,2
AMD,2023-05-15,2023-07-07,0
AMD,2023-05-16,2023-07-10,0
AMD,2023-05-17,2023-07-11,0
AMD,2023-05-18,2023-07-12,0
AMD,2023-05-19,2023-07-13,4
AMD,2023-05-22,2023-07-14,4
AMD,2023-05-23,2023-07-17,4
AMD,2023-05-24,2023-07-18,4
AMD,2023-05-25,2023-07-19,4
AMD,2023-05-26,2023-07-20,4
AMD,2023-05-29,2023-07-21,4
AMD,2023-05-30,2023-07-24,6
AMD,2023-05-31,2023-07-25,6
AMD,2023-06-01,2023-07-26,6
AMD,2023-06-02,2023-07-27,6
AMD,2023-06-05,2023-07-28,6
AMD,2023-06-06,2023-07-31,6
AMD,2023-06-07,2023-08-01,6
AMD,2023-06-08,2023-08-02,6
AMD,2023-06-09,2023-08-03,3
AMD,2023-06-12,2023-08-04,3
AMD,2023-06-13,2023-08-07,3
AMD,2023-06-14,2023-08-08,3
AMD,2023-06-15,2023-08-09,3
AMD,2023-06-16,2023-08-10,3
AMD,2023-06-19,2023-08-11,2
AMD,2023-06-20,2023-08-14,2
AMD,2023-06-21,2023-08-15,2
AMD,2023-06-22,2023-08-16,2
AMD,2023-06-23,2023-08-17,2
AMD,2023-06-26,2023-08-18,2
AMD,2023-06-27,2023-08-21,2
AMD,2023-06-28,2023-08-22,2
AMD,2023-06-29,2023-08-23,2
AMD,2023-06-30,2023-08-24,4
AMD,2023-07-03,2023-08-25,4
AMD,2023-07-04,2023-08-28,4
AMD,2023-07-05,2023-08-29,4
AMD,2023-07-06,2023-08-30,4
AMD,2023-07-07,2023-08-31,4
AMD,2023-07-10,2023-09-01,4
AMD,2023-07-11,2023-09-04,4
AMD,2023-07-12,2023-09-05,4
AMD,2023-07-13,2023-09-06,0
AMD,2023-07-14,2023-09-07,0
AMD,2023-07-17,2023-09-08,0
AMD,2023-07-18,2023-09-11,0
AMD,2023-07-19,2023-09-12,0
AMD,2023-07-20,2023-09-13,0
AMD,2023-07-21,2023-09-14,0
AMD,2023-07-24,2023-09-15,0
AMD,2023-07-25,2023-09-18,0
AMD,2023-07-26,2023-09-19,7
AMD,2023-07-27,2023-09-20,7
AMD,2023-07-28,2023-09-21,7
AMD,2023-07-31,2023-09-22,7
AMD,2023-08-01,2023-09-25,7
AMD,2023-08-02,2023-09-26,7
AMD,2023-08-03,2023-09-27,1
AMD,2023-08-04,2023-09-28,1
AMD,2023-08-07,2023-09-29,1
AMD,2023-08-08,2023-10-02,1
AMD,2023-08-09,2023-10-03,1
AMD,2023-08-10,2023-10-04,1
AMD,2023-08-11,2023-10-05,5
AMD,2023-08-14,2023-10-06,5
AMD,2023-08-15,2023-10-09,5
AMD,2023-08-16,2023-10-10,5
AMD,2023-08-17,2023-10-11,5
AMD,2023-08-18,2023-10-12,5
AMD,2023-08-21,2023-10-13,5
AMD,2023-08-22,2023-10-16,2
AMD,2023-08-23,2023-10-17,2
AMD,2023-08-24,2023-10-18,2
AMD,2023-08-25,2023-10-19,2
AMD,2023-08-28,2023-10-20,4
AMD,2023-08-29,2023-10-23,4
AMD,2023-08-30,2023-10-24,0
AMD,2023-08-31,2023-10-25,0
AMD,2023-09-01,2023-10-26,4
AMD,2023-09-04,2023-10-27,4
AMD,2023-09-05,2023-10-30,4
AMD,2023-09-06,2023-10-31,4
AMD,2023-09-07,2023-11-01,4
AMD,2023-09-08,2023-11-02,4
AMD,2023-09-11,2023-11-03,4
AMD,2023-09-12,2023-11-06,6
AMD,2023-09-13,2023-11-07,6
AMD,2023-09-14,2023-11-08,6
AMD,2023-09-15,2023-11-09,6
AMD,2023-09-18,2023-11-10,6
AMD,2023-09-19,2023-11-13,6
AMD,2023-09-20,2023-11-14,6
AMD,2023-09-21,2023-11-15,6
AMD,2023-09-22,2023-11-16,3
AMD,2023-09-25,2023-11-17,3
AMD,2023-09-26,2023-11-20,3
AMD,2023-09-27,2023-11-21,3
AMD,2023-09-28,2023-11-22,3
AMD,2023-09-29,2023-11-23,3
AMD,2023-10-02,2023-11-24,3
AMD,2023-10-03,2023-11-27,2
AMD,2023-10-04,2023-11-28,2
AMD,2023-10-05,2023-11-29,2
AMD,2023-10-06,2023-11-30,2
AMD,2023-10-09,2023-12-01,2
AMD,2023-10-10,2023-12-04,2
AMD,2023-10-11,2023-12-05,2
AMD,2023-10-12,2023-12-06,2
AMD,2023-10-13,2023-12-07,2
AMD,2023-10-16,2023-12-08,2
AMD,2023-10-17,2023-12-11,2
AMD,2023-10-18,2023-12-12,4
AMD,2023-10-19,2023-12-13,4
AMD,2023-10-20,2023-12-14,4
AMD,2023-10-23,2023-12-15,4
AMD,2023-10-24,2023-12-18,4
AMD,2023-10-25,2023-12-19,4
AMD,2023-10-26,2023-12-20,4
AMD,2023-10-27,2023-12-21,4
AMD,2023-10-30,2023-12-22,4
AMD,2023-10-31,2023-12-25,4
AMD,2023-11-01,2023-12-26,0
AMD,2023-11-02,2023-12-27,0
AMD,2023-11-03,2023-12-28,0
AMD,2023-11-06,2023-12-29,0
AVGO,2023-01-03,2023-02-27,1
AVGO,2023-01-04,2023-02-28,1
AVGO,2023-01-05,2023-03-01,1
AVGO,2023-01-06,2023-03-02,1
AVGO,2023-01-09,2023-03-03,1
AVGO,2023-01-10,2023-03-06,1
AVGO,2023-01-11,2023-03-07,5
AVGO,2023-01-12,2023-03-08,5
AVGO,2023-01-13,2023-03-09,5
AVGO,2023-01-16,2023-03-10,5
AVGO,2023-01-17,2023-03-13,5
AVGO,2023-01-18,2023-03-14,5
AVGO,2023-01-19,2023-03-15,2
AVGO,2023-01-20,2023-03-16,2
AVGO,2023-01-23,2023-03-17,2
AVGO,2023-01-24,2023-03-20,2
AVGO,2023-01-25,2023-03-21,2
AVGO,2023-01-26,2023-03-22,2
AVGO,2023-01-27,2023-03-23,2
AVGO,2023-01-30,2023-03-24,2
AVGO,2023-01-31,2023-03-27,2
AVGO,2023-02-01,2023-03-28,2
AVGO,2023-02-02,2023-03-29,2
AVGO,2023-02-03,2023-03-30,2
AVGO,2023-02-06,2023-03-31,2
AVGO,2023-02-07,2023-04-03,2
AVGO,2023-02-08,2023-04-04,4
AVGO,2023-02-09,2023-04-05,4
AVGO,2023-02-10,2023-04-06,4
AVGO,2023-02-13,2023-04-07,4
AVGO,2023-02-14,2023-04-10,4
AVGO,2023-02-15,2023-04-11,6
AVGO,2023-02-16,2023-04-12,6
AVGO,2023-02-17,2023-04-13,6
AVGO,2023-02-20,2023-04-14,6
AVGO,2023-02-21,2023-04-17,3
AVGO,2023-02-22,2023-04-18,3
AVGO,2023-02-23,2023-04-19,3
AVGO,2023-02-24,2023-04-20,3
AVGO,2023-02-27,2023-04-21,3
AVGO,2023-02-28,2023-04-24,3
AVGO,2023-03-01,2023-04-25,2
AVGO,2023-03-02,2023-04-26,2
AVGO,2023-03-03,2023-04-27,2
AVGO,2023-03-06,2023-04-28,2
AVGO,2023-03-07,2023-05-01,2
AVGO,2023-03-08,2023-05-02,2
AVGO,2023-03-09,2023-05-03,2
AVGO,2023-03-10,2023-05-04,2
AVGO,2023-03-13,2023-05-05,2
AVGO,2023-03-14,2023-05-08,2
AVGO,2023-03-15,2023-05-09,2
AVGO,2023-03-16,2023-05-10,4
AVGO,2023-03-17,2023-05-11,4
AVGO,2023-03-20,2023-05-12,4
AVGO,2023-03-21,2023-05-15,4
AVGO,2023-03-22,2023-05-16,4
AVGO,2023-03-23,2023-05-17,4
AVGO,2023-03-24,2023-05-18,4
AVGO,2023-03-27,2023-05-19,4
AVGO,2023-03-28,2023-05-22,4
AVGO,2023-03-29,2023-05-23,0
AVGO,2023-03-30,2023-05-24,0
AVGO,2023-03-31,2023-05-25,0
AVGO,2023-04-03,2023-05-26,0
AVGO,2023-04-04,2023-05-29,0
AVGO,2023-04-05,2023-05-30,0
AVGO,2023-04-06,2023-05-31,0
AVGO,2023-04-07,2023-06-01,0
AVGO,2023-04-10,2023-06-02,0
AVGO,2023-04-11,2023-06-05,7
AVGO,2023-04-12,2023-06-06,7
AVGO,2023-04-13,2023-06-07,7
AVGO,2023-04-14,2023-06-08,7
AVGO,2023-04-17,2023-06-09,7
AVGO,2023-04-18,2023-06-12,7
AVGO,2023-04-19,2023-06-13,7
AVGO,2023-04-20,2023-06-14,1
AVGO,2023-04-21,2023-06-15,1
AVGO,2023-04-24,2023-06-16,1
AVGO,2023-04-25,2023-06-19,1
AVGO,2023-04-26,2023-06-20,5
AVGO,2023-04-27,2023-06-21,5
AVGO,2023-04-28,2023-06-22,5
AVGO,2023-05-01,2023-06-23,5
AVGO,2023-05-02,2023-06-26,5
AVGO,2023-05-03,2023-06-27,5
AVGO,2023-05-04,2023-06-28,5
AVGO,2023-05-05,2023-06-29,5
AVGO,2023-05-08,2023-06-30,5
AVGO,2023-05-09,2023-07-03,5
AVGO,2023-05-10,2023-07-04,5
AVGO,2023-05-11,2023-07-05,2
AVGO,2023-05-12,2023-07-06,2
AVGO,2023-05-15,2023-07-07,2
AVGO,2023-05-16,2023-07-10,2
AVGO,2023-05-17,2023-07-11,2
AVGO,2023-05-18,2023-07-12,2
AVGO,2023-05-19,2023-07-13,2
AVGO,2023-05-22,2023-07-14,2
AVGO,2023-05-23,2023-07-17,4
AVGO,2023-05-24,2023-07-18,4
AVGO,2023-05-25,2023-07-19,4
AVGO,2023-05-26,2023-07-20,4
AVGO,2023-05-29,2023-07-21,4
AVGO,2023-05-30,2023-07-24,4
AVGO,2023-05-31,2023-07-25,6
AVGO,2023-06-01,2023-07-26,6
AVGO,2023-06-02,2023-07-27,6
AVGO,2023-06-05,2023-07-28,6
AVGO,2023-06-06,2023-07-31,6
AVGO,2023-06-07,2023-08-01,3
AVGO,2023-06-08,2023-08-02,3
AVGO,2023-06-09,2023-08-03,3
AVGO,2023-06-12,2023-08-04,3
AVGO,2023-06-13,2023-08-07,3
AVGO,2023-06-14,2023-08-08,3
AVGO,2023-06-15,2023-08-09,2
AVGO,2023-06-16,2023-08-10,2
AVGO,2023-06-19,2023-08-11,2
AVGO,2023-06-20,2023-08-14,2
AVGO,2023-06-21,2023-08-15,2
AVGO,2023-06-22,2023-08-16,2
AVGO,2023-06-23,2023-08-17,2
AVGO,2023-06-26,2023-08-18,2
AVGO,2023-06-27,2023-08-21,2
AVGO,2023-06-28,2023-08-22,2
AVGO,2023-06-29,2023-08-23,4
AVGO,2023-06-30,2023-08-24,4
AVGO,2023-07-03,2023-08-25,4
AVGO,2023-07-04,2023-08-28,4
AVGO,2023-07-05,2023-08-29,4
AVGO,2023-07-06,2023-08-30,4
AVGO,2023-07-07,2023-08-31,4
AVGO,2023-07-10,2023-09-01,4
AVGO,2023-07-11,2023-09-04,4
AVGO,2023-07-12,2023-09-05,0
AVGO,2023-07-13,2023-09-06,0
AVGO,2023-07-14,2023-09-07,0
AVGO,2023-07-17,2023-09-08,0
AVGO,2023-07-18,2023-09-11,0
AVGO,2023-07-19,2023-09-12,0
AVGO,2023-07-20,2023-09-13,0
AVGO,2023-07-21,2023-09-14,0
AVGO,2023-07-24,2023-09-15,0
AVGO,2023-07-25,2023-09-18,0
AVGO,2023-07-26,2023-09-19,7
AVGO,2023-07-27,2023-09-20,7
AVGO,2023-07-28,2023-09-21,7
AVGO,2023-07-31,2023-09-22,7
AVGO,2023-08-01,2023-09-25,7
